iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
MMR,Asia,Myanmar,6/29/2020,299,3,6,0,5.495,0.055,0.11,0,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13
NAM,Africa,Namibia,6/29/2020,183,62,0,0,72.021,24.401,0,0,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71
NPL,Asia,Nepal,6/29/2020,12772,1017,28,1,438.346,34.904,0.961,0.034,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78
NLD,Europe,Netherlands,6/29/2020,50147,73,6105,0,2926.605,4.26,356.291,0,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28
NCL,Oceania,New Caledonia,6/29/2020,21,0,0,0,73.557,0,0,0,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
NZL,Oceania,New Zealand,6/29/2020,1178,2,22,0,244.285,0.415,4.562,0,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29
NIC,North America,Nicaragua,6/29/2020,2170,0,74,0,327.569,0,11.171,0,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48
NER,Africa,Niger,6/29/2020,1074,6,67,0,44.368,0.248,2.768,0,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NGA,Africa,Nigeria,6/29/2020,24567,490,565,7,119.177,2.377,2.741,0.034,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69
MNP,Oceania,Northern Mariana Islands,6/29/2020,30,0,2,0,521.222,0,34.748,0,57557,119.878,,,,,,194.994,,,,,,76.74
NOR,Europe,Norway,6/29/2020,8815,0,249,0,1626.011,0,45.93,0,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4
OMN,Asia,Oman,6/29/2020,38150,1197,163,4,7470.692,234.402,31.919,0.783,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86
PAK,Asia,Pakistan,6/29/2020,206512,3557,4167,49,934.899,16.103,18.864,0.222,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PSE,Asia,Palestine,6/29/2020,2248,195,7,1,440.662,38.225,1.372,0.196,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05
PAN,North America,Panama,6/29/2020,31686,1028,604,12,7343.616,238.252,139.984,2.781,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51
